YEAR,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP,PH-BA
2022,KIA,0.272,144,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,0.273,0.219
2022,Samsung,0.27,144,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,0.281,0.273
2022,LG,0.269,144,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,0.274,0.236
2022,Lotte,0.267,144,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,0.259,0.268
2022,NC,0.257,144,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,0.265,0.233
2022,Doosan,0.255,144,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,0.266,0.246
2022,SSG,0.254,144,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,0.272,0.228
2022,KT,0.254,144,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,0.239,0.232
2022,Kiwoom,0.252,144,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,0.243,0.182
2022,Hanhwa,0.245,144,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,0.237,0.211
2021,Lotte,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,0.286,0.253
2021,Doosan,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,0.29,0.259
2021,Samsung,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,0.265,0.213
2021,KT,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,0.27,0.224
2021,SSG,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,0.261,0.259
