,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
,1인당 GDP,GDP 성장률,GDP,수입,수출,1인당 GDP,GDP 성장률,GDP,수입,수출
국가,,,,,,,,,,
아시아,,,,,,,,,,
대한민국,31929,2.2,1651.0,503343,542233,31637,-0.9,1638.2,467633,512498
이스라엘,43589,3.5,394.7,75697,51899,43611,-2.4,402.0,69810,49372
일본,40113,0.3,5064.9,721078,705671,38113,-4.3,4845.2,-,-
튀르키예,9127,0.9,761.4,210261,181021,8538,1.8,720.1,219758,169835
북아메리카,,,,,,,,,,
캐나다,46327,1.9,1741.6,462392,450805,43242,-5.4,1643.4,419688,392129
멕시코,9946,-0.1,1268.9,-,459597,8347,-8.2,1076.2,-,416235
미국,65280,2.2,21433.2,2497500,1643100,63544,-3.5,20936.6,-,-
남아메리카,,,,,,,,,,
칠레,14742,0.9,279.4,-,69889,13232,-5.8,252.9,-,71728
콜롬비아,6425,3.3,323.4,52703,39489,5333,-6.8,271.3,43489,31056
코스타리카,12670,2.2,64.0,17573,11864,12077,-4.5,61.5,15237,12443
유럽,,,,,,,,,,
오스트리아,50122,1.4,445.1,184747,178660,48105,-6.6,429.0,171944,168920
벨기에,46414,1.8,533.3,427845,446901,44594,-6.3,515.3,396125,419910
체코,23490,2.3,250.7,179569,199676,22762,-5.6,243.5,171073,192574
덴마크,60213,2.8,350.1,97209,109989,60909,-2.7,355.2,96800,107227
에스토니아,23718,5.0,31.5,18022,16112,23312,-2.9,31.0,17335,16375
핀란드,48712,1.3,269.0,73718,72839,49041,-2.8,271.2,68085,65668
프랑스,40380,1.5,2715.5,647361,559150,38625,-8.1,2603.0,572028,478333
독일,46468,0.6,3861.1,1233994,1489430,45724,-4.9,3806.1,1170726,1380378
그리스,19151,1.9,205.3,62520,37911,17676,-8.2,189.4,55695,35170
헝가리,16733,4.6,163.5,116516,122059,15899,-5.0,155.0,110442,119412
아이슬란드,68883,2.6,24.8,6616,5238,59261,-6.6,21.7,5707,4594
아일랜드,80779,5.6,398.6,100758,169585,83813,3.4,418.6,97969,178734
이탈리아,33567,0.3,2004.9,475979,539708,31676,-8.9,1886.4,421828,495092
라트비아,17794,2.0,34.1,17809,14510,17620,-3.6,33.5,17264,15101
리투아니아,19555,4.3,54.6,35760,33152,19998,-0.9,55.9,33141,32768
룩셈부르크,114685,2.3,71.1,22960,14831,115874,-1.3,73.3,20930,13646
네덜란드,52295,1.7,907.1,514851,576786,52304,-3.7,912.2,484785,551303
노르웨이,75826,0.9,405.5,86152,104004,67294,-0.8,362.0,81352,82743
폴란드,15695,4.5,595.9,265260,266574,15656,-2.7,594.2,257064,270939
포르투갈,23285,2.5,239.5,89539,67064,22440,-7.6,231.3,77515,61510
슬로바키아,19273,2.5,105.1,89929,88736,19157,-4.8,104.6,86476,83272
슬로베니아,25941,3.2,54.2,37575,37543,25180,-5.5,52.9,32965,34300
스페인,29565,2.0,1393.5,372424,332965,27057,-10.8,1281.2,325193,306752
스웨덴,51687,1.4,531.3,158835,161089,51926,-2.8,537.6,148940,154297
스위스,85300,1.1,731.5,277810,313913,86602,-2.9,748.0,291721,319226
영국,42354,1.4,2830.8,622640,443715,40285,-9.8,2707.7,543961,381130
오세아니아,,,,,,,,,,
오스트레일리아,55057,2.2,1396.6,154043,271006,51812,-0.3,1330.9,146522,250570
뉴질랜드,41999,1.6,209.1,42362,39516,41792,1.0,212.5,37135,38897
