date,nation,continent,oppenent,o_continent,score,o_score,tournament,result
1993-08-08,Bolivia,South America,Uruguay,South America,3,1,Others,Win
1993-08-08,Uruguay,South America,Bolivia,South America,1,3,Others,Lose
1993-08-08,Mexico,North America,Brazil,South America,1,1,Frendly,Draw
1993-08-08,Brazil,South America,Mexico,North America,1,1,Frendly,Draw
1993-08-08,Ecuador,South America,Venezuela,South America,5,0,Others,Win
1993-08-08,Venezuela,South America,Ecuador,South America,0,5,Others,Lose
1993-08-08,Guinea,Africa,Sierra Leone,Africa,1,0,Frendly,Win
1993-08-08,Sierra Leone,Africa,Guinea,Africa,0,1,Frendly,Lose
1993-08-08,Paraguay,South America,Argentina,South America,1,3,Others,Lose
1993-08-08,Argentina,South America,Paraguay,South America,3,1,Others,Win
1993-08-08,Colombia,South America,Peru,South America,1,0,Others,Win
1993-08-08,Peru,South America,Colombia,South America,0,1,Others,Lose
1993-08-08,Eswatini,Africa,Zimbabwe,Africa,0,2,Frendly,Lose
1993-08-08,Zimbabwe,Africa,Eswatini,Africa,2,0,Frendly,Win
1993-08-09,Sierra Leone,Africa,Guinea,Africa,0,4,Frendly,Lose
1993-08-09,Guinea,Africa,Sierra Leone,Africa,4,0,Frendly,Win
1993-08-11,Norway,Europe,Faroe Islands,Europe,7,0,Frendly,Win
1993-08-11,Faroe Islands,Europe,Norway,Europe,0,7,Frendly,Lose
1993-08-11,Switzerland,Europe,Sweden,Europe,2,1,Frendly,Win
1993-08-11,Sweden,Europe,Switzerland,Europe,1,2,Frendly,Lose
1993-08-15,Canada,North America,Australia,Oceania,1,2,Others,Draw
1993-08-15,Australia,Oceania,Canada,North America,2,1,Others,Draw
1993-08-15,Ecuador,South America,Bolivia,South America,0,1,Others,Lose
1993-08-15,Bolivia,South America,Ecuador,South America,1,0,Others,Win
1993-08-15,Colombia,South America,Argentina,South America,2,1,Others,Win
1993-08-15,Argentina,South America,Colombia,South America,1,2,Others,Lose
1993-08-15,Congo,Africa,Guinea,Africa,0,0,Others,Draw
1993-08-15,Guinea,Africa,Congo,Africa,0,0,Others,Draw
1993-08-15,Uruguay,South America,Brazil,South America,1,1,Others,Draw
1993-08-15,Brazil,South America,Uruguay,South America,1,1,Others,Draw
1993-08-22,Peru,South America,Argentina,South America,1,2,Others,Lose
1993-08-22,Argentina,South America,Peru,South America,2,1,Others,Win
1993-08-22,Bolivia,South America,Venezuela,South America,7,0,Others,Win
1993-08-22,Venezuela,South America,Bolivia,South America,0,7,Others,Lose
1993-08-22,Brazil,South America,Ecuador,South America,2,0,Others,Win
1993-08-22,Ecuador,South America,Brazil,South America,0,2,Others,Lose
1993-08-22,Paraguay,South America,Colombia,South America,1,1,Others,Draw
1993-08-22,Colombia,South America,Paraguay,South America,1,1,Others,Draw
1993-08-22,Sweden,Europe,France,Europe,1,1,Others,Draw
1993-08-22,France,Europe,Sweden,Europe,1,1,Others,Draw
1993-08-25,Austria,Europe,Finland,Europe,3,0,Others,Win
1993-08-25,Finland,Europe,Austria,Europe,0,3,Others,Lose
1993-08-25,Lithuania,Europe,Denmark,Europe,0,4,Others,Lose
1993-08-25,Denmark,Europe,Lithuania,Europe,4,0,Others,Win
1993-08-29,Argentina,South America,Paraguay,South America,0,0,Others,Draw
1993-08-29,Paraguay,South America,Argentina,South America,0,0,Others,Draw
1993-08-29,Bolivia,South America,Brazil,South America,0,6,Others,Lose
1993-08-29,Brazil,South America,Bolivia,South America,6,0,Others,Win
1993-08-29,Colombia,South America,Peru,South America,4,0,Others,Win
1993-08-29,Peru,South America,Colombia,South America,0,4,Others,Lose
1993-08-29,Uruguay,South America,Venezuela,South America,4,0,Others,Win
1993-08-29,Venezuela,South America,Uruguay,South America,0,4,Others,Lose
1993-08-31,Iceland,Europe,USA,North America,0,1,Frendly,Lose
1993-08-31,USA,North America,Iceland,Europe,1,0,Frendly,Win
1993-09-05,Colombia,South America,Argentina,South America,5,0,Others,Win
1993-09-05,Argentina,South America,Colombia,South America,0,5,Others,Lose
1993-09-05,Venezuela,South America,Brazil,South America,0,4,Others,Lose
1993-09-05,Brazil,South America,Venezuela,South America,4,0,Others,Win
1993-09-05,Ecuador,South America,Uruguay,South America,0,1,Others,Lose
1993-09-05,Uruguay,South America,Ecuador,South America,1,0,Others,Win
1993-09-05,Portugal,Europe,Estonia,Europe,2,0,Others,Win
1993-09-05,Estonia,Europe,Portugal,Europe,0,2,Others,Lose
1993-09-05,Paraguay,South America,Peru,South America,2,2,Others,Draw
1993-09-05,Peru,South America,Paraguay,South America,2,2,Others,Draw
